2020/11/18,ALL,Tokyo,Osaka,Hokkaido,Kanagawa,Aichi,Saitama,Hyogo,Shizuoka,Chiba,Okinawa,Kyoto,Ibaraki,Nagano,Nara,Okayama,Fukuoka,Gifu,Miyagi,Mie,Kagoshima,Shiga,Niigata,Hiroshima,Fukushima,Fukui,Oita,Miyazaki,Gunma,Iwate,Wakayama,Kumamoto,Yamaguchi,Ehime,Saga,Tochigi,Kagawa,Yamagata,Yamanashi,Toyama,Tottori,Tokushima,Nagasaki,Akita,Kochi,Aomori,Shimane,Ishikawa
,2173,486,273,233,226,141,126,103,75,66,41,39,39,30,28,24,22,19,19,17,16,14,14,14,12,11,10,10,10,10,8,7,6,6,4,4,3,2,1,1,1,1,1,0,0,0,0,0
2020/11/19,ALL,Tokyo,Osaka,Hokkaido,Aichi,Kanagawa,Hyogo,Saitama,Chiba,Shizuoka,Okinawa,Nara,Ibaraki,Fukuoka,Mie,Gifu,Gunma,Nagano,Yamaguchi,Okayama,Tochigi,Miyagi,Wakayama,Kyoto,Shiga,Kagoshima,Ehime,Iwate,Oita,Yamanashi,Fukui,Saga,Kumamoto,Fukushima,Yamagata,Toyama,Miyazaki,Hiroshima,Kagawa,Tokushima,Niigata,Nagasaki,Ishikawa,Aomori,Kochi,Tottori,Shimane,Akita
,2382,531,338,267,219,205,132,108,106,73,53,33,28,22,21,20,20,20,18,15,15,15,15,14,12,9,9,8,7,6,6,6,5,5,5,5,3,2,2,1,1,1,1,0,0,0,0,0
2020/11/20,ALL,Tokyo,Osaka,Hokkaido,Kanagawa,Aichi,Hyogo,Saitama,Chiba,Shizuoka,Ibaraki,Okinawa,Fukuoka,Kyoto,Nara,Yamaguchi,Nagano,Gunma,Iwate,Mie,Gifu,Miyagi,Okayama,Oita,Shiga,Niigata,Wakayama,Miyazaki,Ehime,Kumamoto,Hiroshima,Fukushima,Tochigi,Kagoshima,Yamanashi,Toyama,Nagasaki,Fukui,Yamagata,Kagawa,Tokushima,Saga,Akita,Tottori,Shimane,Aomori,Kochi,Ishikawa
,2425,522,370,304,208,202,129,96,90,59,40,40,35,26,23,23,22,22,21,18,15,14,13,12,12,11,11,11,11,10,9,8,8,7,7,5,3,3,2,2,1,0,0,0,0,0,0,0
2020/11/21,ALL,Tokyo,Osaka,Hokkaido,Aichi,Kanagawa,Saitama,Hyogo,Chiba,Ibaraki,Shizuoka,Okinawa,Fukuoka,Kyoto,Okayama,Nagano,Nara,Mie,Gifu,Ehime,Yamaguchi,Gunma,Miyagi,Iwate,Miyazaki,Yamanashi,Shiga,Kumamoto,Niigata,Fukushima,Tochigi,Hiroshima,Wakayama,Kagoshima,Nagasaki,Tokushima,Kagawa,Fukui,Kochi,Ishikawa,Toyama,Saga,Oita,Aomori,Akita,Yamagata,Tottori,Shimane
,2570,539,415,234,211,192,172,152,109,66,60,42,36,35,27,25,22,22,21,21,17,17,16,15,14,11,10,10,9,8,8,8,7,3,3,2,2,2,2,2,1,1,1,0,0,0,0,0
2020/11/22,ALL,Osaka,Tokyo,Hokkaido,Kanagawa,Aichi,Hyogo,Saitama,Chiba,Ibaraki,Shizuoka,Okinawa,Fukuoka,Kyoto,Ehime,Mie,Nagano,Miyazaki,Tochigi,Okayama,Nara,Gunma,Oita,Yamaguchi,Miyagi,Hiroshima,Gifu,Kumamoto,Niigata,Wakayama,Shiga,Iwate,Yamanashi,Saga,Fukushima,Ishikawa,Fukui,Kagoshima,Yamagata,Nagasaki,Tokushima,Toyama,Shimane,Kagawa,Akita,Kochi,Aomori,Tottori
,2146,490,390,245,163,144,138,113,80,47,44,32,30,24,23,15,14,14,14,13,12,12,10,9,9,9,7,6,6,5,5,4,4,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0
2020/11/23,ALL,Tokyo,Osaka,Hokkaido,Aichi,Saitama,Hyogo,Kanagawa,Chiba,Shizuoka,Ibaraki,Ehime,Nara,Miyagi,Okinawa,Kyoto,Gifu,Niigata,Nagano,Hiroshima,Wakayama,Mie,Okayama,Fukuoka,Gunma,Yamanashi,Miyazaki,Kagoshima,Shiga,Iwate,Yamaguchi,Oita,Toyama,Kumamoto,Fukushima,Kochi,Kagawa,Tochigi,Aomori,Fukui,Nagasaki,Saga,Akita,Tokushima,Tottori,Shimane,Yamagata,Ishikawa
,1513,315,281,206,95,89,77,70,59,47,32,26,21,16,16,14,14,13,12,12,11,11,10,9,8,7,5,5,5,4,4,4,3,3,2,2,1,1,1,1,1,0,0,0,0,0,0,0
2020/11/24,ALL,Hokkaido,Osaka,Tokyo,Aichi,Hyogo,Kanagawa,Saitama,Chiba,Shizuoka,Ibaraki,Ehime,Gunma,Okinawa,Nara,Iwate,Kyoto,Miyagi,Tochigi,Fukuoka,Nagano,Hiroshima,Wakayama,Shiga,Yamanashi,Gifu,Okayama,Miyazaki,Mie,Oita,Saga,Niigata,Kumamoto,Fukui,Akita,Fukushima,Nagasaki,Tottori,Toyama,Ishikawa,Yamaguchi,Shimane,Tokushima,Kagawa,Yamagata,Kochi,Kagoshima,Aomori
,1219,216,210,188,110,77,67,43,42,27,26,17,16,16,15,14,13,12,11,11,11,8,8,7,7,7,7,6,5,5,4,3,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
2020/11/25,ALL,Tokyo,Osaka,Hokkaido,Aichi,Kanagawa,Saitama,Hyogo,Chiba,Shizuoka,Ibaraki,Kyoto,Gifu,Fukuoka,Okinawa,Miyagi,Mie,Gunma,Okayama,Ehime,Tochigi,Nara,Miyazaki,Oita,Nagano,Shiga,Akita,Niigata,Yamaguchi,Iwate,Kumamoto,Kagoshima,Wakayama,Yamanashi,Ishikawa,Kagawa,Tottori,Aomori,Saga,Shimane,Toyama,Nagasaki,Hiroshima,Yamagata,Fukui,Fukushima,Kochi,Tokushima
,1925,402,318,181,177,159,99,98,73,55,36,31,30,28,27,19,18,18,15,14,11,11,10,10,9,9,8,8,7,7,5,5,5,4,2,2,2,2,2,1,1,1,1,1,1,1,1,0
2020/11/26,ALL,Tokyo,Osaka,Hokkaido,Kanagawa,Aichi,Hyogo,Saitama,Chiba,Okinawa,Shizuoka,Fukuoka,Ibaraki,Kyoto,Gunma,Mie,Nara,Miyagi,Ehime,Nagano,Gifu,Kumamoto,Okayama,Hiroshima,Iwate,Miyazaki,Oita,Fukushima,Wakayama,Kagoshima,Ishikawa,Yamaguchi,Tochigi,Shiga,Fukui,Toyama,Aomori,Tottori,Akita,Saga,Nagasaki,Yamagata,Niigata,Tokushima,Kagawa,Shimane,Yamanashi,Kochi
,2494,482,326,256,252,198,183,159,82,73,72,52,50,33,30,27,23,21,17,16,16,15,14,14,13,9,8,6,6,5,5,4,4,4,4,3,2,2,1,1,1,1,1,1,1,1,0,0
